"Organization","NetworkName","model","publicIp"
"Balfour Beatty Construction","AWS-PRD-West","VMX-M","44.228.158.136"
"Balfour Beatty Construction","AWS-JDE-East","VMX-M","52.86.7.239"
"Balfour Beatty Construction","AWS-PIP-Prod","VMX-M","3.233.25.158"
"Balfour Beatty Construction","AWS-PIP-Dev","VMX-M","3.214.114.89"
"Balfour Beatty Construction","Azure-SC","VMX-M","20.118.66.153"
"Balfour Beatty Construction","AWS-PRD-East","VMX-M","44.207.187.204"
"Balfour Beatty Construction","AWS-PIP-Shared","VMX-M","3.92.18.21"
"Balfour Beatty Construction","Azure-E2-WorkorderAI","VMX-M","52.254.86.130"
"Balfour Beatty Construction","AWS-DevOps","VMX-M","35.169.241.66"
"Balfour Beatty Construction","AWS-DevOps-PRD","VMX-M","3.210.16.217"
"Balfour Beatty Construction","East-Atlanta 300 Galleria Office","MX100","4.7.137.107"
"Balfour Beatty Construction","East-NC-Charlotte Main Office","MX100","4.34.23.66"
"Balfour Beatty Construction","East-VA-FairfaxOffice","MX100","4.30.36.2"
"Balfour Beatty Construction","Investments-Audubon_1-1","MX100","216.129.153.151"
"Balfour Beatty Construction","West-WA-MSCR","MX100","50.106.37.90"
"Balfour Beatty Construction","Central-Texas-Austin Main Office","MX100","12.124.158.178"
"Balfour Beatty Construction","East-Charleston-The Charles","MX68","170.52.175.184"
"Balfour Beatty Construction","Central-DAL-TXHealthSurgeryTower","MX68","47.38.229.89"
"Balfour Beatty Construction","East-NC-17984-DSA","MX68","2606:a000:bfc0:a0:153e:4684:abba:7377"
"Balfour Beatty Construction","West-WA-MSCM Chelan Bldg 1","MX68","50.54.240.220"
"Balfour Beatty Construction","East-NC-RDU Aviation Pkwy","MX68","209.194.224.144"
"Balfour Beatty Construction","West-CA-SWC Student Union","MX68","209.129.112.96"
"Balfour Beatty Construction","East-NC-ECSU-Infra","MX68","198.85.56.11"
"Balfour Beatty Construction","West-CA-Castle Park HS Stadium","MX68","98.97.137.142"
"Balfour Beatty Construction","West-OR-PPMC ED Reno - Team 5","MX68","107.13.25.124"
"Balfour Beatty Construction","East-Ga-Thompson Savannah","MX68","73.182.80.78"
"Balfour Beatty Construction","East-NC-BBE Warehouse","MX68","172.72.182.246"
"Balfour Beatty Construction","East-FL-JAX Concourse B01","MX68","97.163.30.56"
"Balfour Beatty Construction","East-Ga-Carroll County Admin","MX68","69.222.65.5"
"Balfour Beatty Construction","East-FL-JAX JIA Concourse B04","MX68","4.30.17.124"
"Balfour Beatty Construction","Central-DAL-Knox","MX68","12.51.231.163"
"Balfour Beatty Construction","East-FL-Project Sparrow","MX68","216.53.192.90"
"Balfour Beatty Construction","Central-DAL-P117","MX68","216.59.204.66"
"Balfour Beatty Construction","East-DC-FRB Garage","MX68","192.26.200.20"
"Balfour Beatty Construction","East-FL-JAX JIA Concourse B02","MX68","97.163.16.165"
"Balfour Beatty Construction","East-NC-RDU CMR","MX68","209.194.224.138"
"Balfour Beatty Construction","Central-DAL-2811 Maple","MX68","162.200.7.44"
"Balfour Beatty Construction","B-West-OR-PDXJIAB-02 - PPMC ED Reno","MX68","75.202.89.89"
"Balfour Beatty Construction","Central-DAL-Salvation Army Social Svcs","MX68","97.79.141.244"
"Balfour Beatty Construction","East-SC-Charleston Office","MX68","24.11.163.40"
"Balfour Beatty Construction","East-NC-RAL-RDURunway5L-23R","MX68","107.15.144.148"
"Balfour Beatty Construction","East-FL-JAX JIA Concourse B03","MX68","4.30.17.124"
"Balfour Beatty Construction","East-FL-ORLBBE03","MX68","75.206.60.147"
"Balfour Beatty Construction","East-VA-South Bell Street","MX68","173.66.173.8"
"Balfour Beatty Construction","East-FL-ORLBBE02","MX68","75.251.109.107"
"Balfour Beatty Construction","East-Florida-Tampa-Field Office","MX68","71.41.39.202"
"Balfour Beatty Construction","East-Georgia-Capital Building","MX68","73.237.133.158"
"Balfour Beatty Construction","East-Ga-Champion Middle School","MX68","2603:3001:1177:4500:0:0:0:3138"
"Balfour Beatty Construction","West-CA-Will Rogers LC","MX68","76.53.172.178"
"Balfour Beatty Construction","Civils-West-Woodland CA Office","MX68","104.220.209.22"
"Balfour Beatty Construction","West-WA-Union Gap OCED","MX68","97.186.104.113"
"Balfour Beatty Construction","East-Ft Eustis-Battalion Complex","MX68","184.187.49.110"
"Balfour Beatty Construction","West-OR-MCL Chapter 3 - St Johns","MX68","76.144.68.15"
"Balfour Beatty Construction","East-VA-RichmondOffice","MX68","141.152.49.248"
"Balfour Beatty Construction","Civils-West-CA-Long Beach Office","MX68","47.51.35.162"
"Balfour Beatty Construction","West-WA-Tetris","MX68","69.84.254.245"
"Balfour Beatty Construction","East-FL-ORLBBE01","MX68","75.229.131.115"
"Balfour Beatty Construction","West-WA-PACCAR PTC","MX68","98.97.45.253"
"Balfour Beatty Construction","B-WEST-OR-PDXJIAB-01 - Davis Wright Termaine TI at B216","MX68","97.185.246.195"
"Balfour Beatty Construction","West-OR-MCL Chapter 3 - Pettygrove","MX68","97.185.226.213"
"Balfour Beatty Construction","East-NC NCSU Electrical","MX68","75.177.184.188"
