"Entity"|"Parent"|"Alias: Default"|"Alias: Legacy"|"Valid For Consolidations"|"Data Storage"|"Two Pass Calculation"|"Description"|"Formula"|"Formula Description"|"UDA"|"Smart List"|"Data Type"|"Hierarchy Type"|"Enable for Dynamic Children"|"Number of Possible Dynamic Children"|"Access Granted to Member Creator"|"Allow Upper Level Entity Input"|"Process Management Enabled"|"UUID"|"Data Id"|"Old Name"|"Old Unique Name"|"Base Currency"|"Plan Type (BB_Plan)"|"Aggregation (BB_Plan)"|"Data Storage (BB_Plan)"|"Formula (BB_Plan)"|"Solve Order (BB_Plan)"|"Formula Description (BB_Plan)"|"Plan Type (BB_Rpt)"|"Aggregation (BB_Rpt)"|"Data Storage (BB_Rpt)"|"Formula (BB_Rpt)"|"Solve Order (BB_Rpt)"|"Formula Description (BB_Rpt)"|"Plan Type (E_Curve)"|"Aggregation (E_Curve)"|"Data Storage (E_Curve)"|"Formula (E_Curve)"|"Solve Order (E_Curve)"|"Formula Description (E_Curve)"|"Plan Type (BB_Cash)"|"Aggregation (BB_Cash)"|"Data Storage (BB_Cash)"|"Formula (BB_Cash)"|"Solve Order (BB_Cash)"|"Formula Description (BB_Cash)"|"Bonding"|"Consult Job"|"Contract Role"|"Contract Type"|"External Joint Venture"|"Green Builder"|"Facility Type"|"Internal Job Flag"|"Internal Joint Venture"|"Job Status"|"Procurement"|"Sector"|"State"|"Wrap"|"UK Industry"|"Original Projection"|"Complex Job Flag"|"Federal Flag"|"BIM Flag"|"Renovation Flag"|"Special Project Flag"|"Interior Flag"|"Enabling Function"|"Company External Joint Venture"|"Company Equity Joint Venture"|"Operation"
"MG_Total"|"Entity"|"Total Management"|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"df01734b-d028-41d0-aebc-2932b82a3fce"|"98672"|"MG_Total"|"<none>"|"USD"|"true"|"~"|"never share"|"<none>"|"0"|""|"true"|"~"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"~"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"MG_Vertical"|"MG_Total"|"Vertical Management"|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"85b4a7cb-b9a2-404f-8783-2ded19119b6e"|"98677"|"MG_Vertical"|"<none>"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"MG_V_DIV_MA"|"MG_Vertical"|"Vertical Mid-Atlantic Division"|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|"DIVISION"|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"103f06c2-0276-4e69-9482-2543a41a47a6"|"98679"|"MG_V_DIV_MA"|"<none>"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"MG_Office_205"|"MG_V_DIV_MA"|"MA - Home Office (1)"|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"d51c36c1-2c61-4534-b3e2-1b78ec9872ea"|"98681"|"MG_Office_205"|"<none>"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Office_205_Division_Allocation"|"MG_Office_205"|""|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"a4215b6a-0d1d-4caf-91d8-f9f12c6d2ad1"|"71236"|"Office_205_Division_Allocation"|"[MG_Office_205].[Office_205_Division_Allocation]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"false"|"+"|"never share"|"<none>"|"0"|""|"NOT BONDED"|"NOT CONSULT"|"UNKNOWN CONTRACT ROLE"|"UNKNOWN CT"|"NOT EXT JV"|"NOT GREENBUILDER"|"UNKNOWN INDUSTRY"|"NOT INTERNAL JOB"|"NOT INT JV"|"OFFICE CODE ALLOC"|"OTHER PROCUREMENT"|"UNKNOWN SECTOR"|"UNKNOWN STATE"|"NO WRAP"|"UK_COMMERCIAL"|""|""|""|""|""|""|""|""|""|""|""
"Office_205_Division_ManagementAdj"|"MG_Office_205"|""|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"92186554-4877-4365-a203-37d61e9d212f"|"71237"|"Office_205_Division_ManagementAdj"|"[MG_Office_205].[Office_205_Division_ManagementAdj]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"false"|"+"|"never share"|"<none>"|"0"|""|"NOT BONDED"|"NOT CONSULT"|"UNKNOWN CONTRACT ROLE"|"UNKNOWN CT"|"NOT EXT JV"|"NOT GREENBUILDER"|"UNKNOWN INDUSTRY"|"NOT INTERNAL JOB"|"NOT INT JV"|"MANAGEMENT ADJUSTMENT"|"OTHER PROCUREMENT"|"UNKNOWN SECTOR"|"UNKNOWN STATE"|"NO WRAP"|"UK_COMMERCIAL"|""|""|""|""|""|""|""|""|""|""|""
"Office_205_Division_ManagementAdjJob1"|"MG_Office_205"|""|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"c6d7bbc8-cbc0-4887-b429-3499d3ff7490"|"71825"|"Office_205_Division_ManagementAdjJob1"|"[MG_Office_205].[Office_205_Division_ManagementAdjJob1]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|"NOT CONSULT"|"UNKNOWN CONTRACT ROLE"|"UNKNOWN CT"|"NOT EXT JV"|"NOT GREENBUILDER"|"UNKNOWN INDUSTRY"|"NOT INTERNAL JOB"|"NOT INT JV"|"MANAGEMENT ADJUST JOB"|"OTHER PROCUREMENT"|"UNKNOWN SECTOR"|"UNKNOWN STATE"|"MANAGEMENT ADJUSTMENT DIVISION"|""|""|""|""|""|""|""|""|""|""|""|""
"Office_205_Division_ManagementAdjJob2"|"MG_Office_205"|""|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"70a956c6-8f02-459d-8eef-25ccd5864809"|"71826"|"Office_205_Division_ManagementAdjJob2"|"[MG_Office_205].[Office_205_Division_ManagementAdjJob2]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|"NOT CONSULT"|"UNKNOWN CONTRACT ROLE"|"UNKNOWN CT"|"NOT EXT JV"|"NOT GREENBUILDER"|"UNKNOWN INDUSTRY"|"NOT INTERNAL JOB"|"NOT INT JV"|"MANAGEMENT ADJUST JOB"|"OTHER PROCUREMENT"|"UNKNOWN SECTOR"|"UNKNOWN STATE"|""|""|""|""|""|""|""|""|""|""|""|""|""
"Office_205_Division_ManagementAdjJob3"|"MG_Office_205"|""|""|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"8dc74d68-0a76-4a84-b526-7da46c8ccb5c"|"71827"|"Office_205_Division_ManagementAdjJob3"|"[MG_Office_205].[Office_205_Division_ManagementAdjJob3]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|"NOT CONSULT"|"UNKNOWN CONTRACT ROLE"|"UNKNOWN CT"|"NOT EXT JV"|"NOT GREENBUILDER"|"UNKNOWN INDUSTRY"|"NOT INTERNAL JOB"|"NOT INT JV"|"MANAGEMENT ADJUST JOB"|"OTHER PROCUREMENT"|"UNKNOWN SECTOR"|"UNKNOWN STATE"|""|""|""|""|""|""|""|""|""|""|""|""|""
"BS_020000"|"MG_Office_205"|"BALFOUR BEATTY CONSTR, LLC-W (020000)"|"BS_20000"|"false"|"never share"|"false"|""|"<none>"|"<none>"|""|""|"unspecified"|"stored"|""|""|""|"false"|"true"|"9f746999-7409-46de-a608-329e62912825"|"51460"|"BS_020000"|"[MG_Office_205].[BS_020000]"|"USD"|"true"|"+"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|"false"|"~"|"never share"|"<none>"|"0"|""|"true"|"+"|"never share"|"<none>"|"0"|""|""|""|""|""|""|""|""|""|""|"BALANCE SHEET BU"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
